Year,District,DistLocale,Total_ProficientPct,EconDisadv_ProficientPct,NotEconDisadv_ProficientPct,Female_ProficientPct,Male_ProficientPct,AIAN_ProficientPct,Asian_ProficientPct,Black_ProficientPct,Filipino_ProficientPct,Hisp_ProficientPct,NHPI_ProficientPct,TwoOrMore_ProficientPct,White_ProficientPct,Total_ProficientCount,EconDisadv_ProficientCount,NotEconDisadv_ProficientCount,Female_ProficientCount,Male_ProficientCount,AIAN_ProficientCount,Asian_ProficientCount,Black_ProficientCount,Filipino_ProficientCount,Hisp_ProficientCount,NHPI_ProficientCount,TwoOrMore_ProficientCount,White_ProficientCount,Total_Count,EconDisadv_Count,NotEconDisadv_Count,Female_Count,Male_Count,AIAN_Count,Asian_Count,Black_Count,Filipino_Count,Hisp_Count,NHPI_Count,TwoOrMore_Count,White_Count,Total_ProficientPct_missing,EconDisadv_ProficientPct_missing,NotEconDisadv_ProficientPct_missing,Female_ProficientPct_missing,Male_ProficientPct_missing,AIAN_ProficientPct_missing,Asian_ProficientPct_missing,Black_ProficientPct_missing,Filipino_ProficientPct_missing,Hisp_ProficientPct_missing,NHPI_ProficientPct_missing,TwoOrMore_ProficientPct_missing,White_ProficientPct_missing,Total_ProficientCount_missing,EconDisadv_ProficientCount_missing,NotEconDisadv_ProficientCount_missing,Female_ProficientCount_missing,Male_ProficientCount_missing,AIAN_ProficientCount_missing,Asian_ProficientCount_missing,Black_ProficientCount_missing,Filipino_ProficientCount_missing,Hisp_ProficientCount_missing,NHPI_ProficientCount_missing,TwoOrMore_ProficientCount_missing,White_ProficientCount_missing,Total_Count_missing,EconDisadv_Count_missing,NotEconDisadv_Count_missing,Female_Count_missing,Male_Count_missing,AIAN_Count_missing,Asian_Count_missing,Black_Count_missing,Filipino_Count_missing,Hisp_Count_missing,NHPI_Count_missing,TwoOrMore_Count_missing,White_Count_missing,Total_ProficientPct_lag1,Total_ProficientPct_lag2,Total_ProficientPct_lag3,Total_ProficientPct_lag4
2016,washington unified,"Suburb, large",0.37,0.25,0.62,0.35,0.38,,0.43,0.27,0.75,0.28,,0.36,0.48,233.0,108.0,122.0,108.0,125.0,0.0,23.0,6.0,9.0,89.0,0.0,9.0,96.0,628.0,432.0,196.0,300.0,328.0,6.0,53.0,22.0,12.0,307.0,2.0,25.0,201.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.27,0.11,
2017,washington unified,"City, large",0.2421,0.2265,,0.25,0.2353,,0.3333,0.1667,,0.2297,,,0.3571,46.0,41.0,0.0,22.0,24.0,,5.0,2.0,,34.0,,0.0,5.0,190.0,181.0,0.0,88.0,102.0,,15.0,12.0,,148.0,,0.0,14.0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.37,0.22,0.27,0.11
2017,washington unified,"Suburb, large",0.3773,0.2721,0.6328,0.3463,0.4043,,0.5849,0.1471,,0.2686,0.4167,0.3214,0.5359,229.0,117.0,112.0,98.0,131.0,0.0,31.0,5.0,0.0,76.0,5.0,9.0,97.0,607.0,430.0,177.0,283.0,324.0,0.0,53.0,34.0,0.0,283.0,12.0,28.0,181.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2421,0.37,0.22,0.27
2018,washington unified,"City, large",0.2561,0.2185,0.6923,0.2727,0.2414,,0.0769,0.25,,0.2578,,,,42.0,33.0,9.0,21.0,21.0,,1.0,3.0,,33.0,0.0,0.0,0.0,164.0,151.0,13.0,77.0,87.0,,13.0,12.0,,128.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3773,0.2421,0.37,0.22
2018,washington unified,"Suburb, large",0.3311,0.198,0.6061,0.3333,0.3291,,0.5323,0.2857,0.5,0.1719,,0.56,0.4703,201.0,81.0,120.0,97.0,104.0,0.0,33.0,8.0,7.0,49.0,0.0,14.0,87.0,607.0,409.0,198.0,291.0,316.0,0.0,62.0,28.0,14.0,285.0,0.0,25.0,185.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2561,0.3773,0.2421,0.37
2019,washington unified,"Suburb, large",0.35540000000000005,0.28925,0.6008,0.38115,0.32965,,0.5593,0.2,0.7273,0.29265,0.2727,0.5263,0.43425,246.0,136.0,110.0,132.0,114.0,0.0,33.0,7.0,8.0,91.0,3.0,20.0,80.0,689.0,502.0,187.0,370.0,319.0,4.0,59.0,42.0,11.0,347.0,11.0,38.0,168.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3311,0.2561,0.3773,0.2421
2015,washington union elementary,"Suburb, midsize",0.66,,0.65,0.57,0.74,,,,,0.58,,,0.65,60.0,0.0,58.0,25.0,35.0,,0.0,,0.0,7.0,,0.0,45.0,91.0,2.0,89.0,44.0,47.0,,4.0,,2.0,12.0,,4.0,69.0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,
2016,washington union elementary,"Suburb, midsize",0.7,,0.77,0.61,0.8,,,,,0.56,,0.73,0.73,57.0,0.0,55.0,25.0,32.0,,0.0,,0.0,9.0,,8.0,33.0,81.0,10.0,71.0,41.0,40.0,,8.0,,1.0,16.0,,11.0,45.0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.66,,,
2017,washington union elementary,"Suburb, midsize",0.6465,,0.6667,0.625,0.661,,,,,0.4444,,,0.6618,64.0,0.0,62.0,25.0,39.0,,0.0,,0.0,8.0,,0.0,45.0,99.0,0.0,93.0,40.0,59.0,,0.0,,0.0,18.0,,0.0,68.0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.7,0.66,,
2018,washington union elementary,"Suburb, midsize",0.7407,,0.77,0.7308,0.75,,,,,0.5926,,,0.7742,80.0,0.0,77.0,38.0,42.0,,0.0,,0.0,16.0,,0.0,48.0,108.0,0.0,100.0,52.0,56.0,,0.0,,0.0,27.0,,0.0,62.0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.6465,0.7,0.66,
2019,washington union elementary,"Suburb, midsize",0.625,,0.6479,0.5676,0.6744,,,,,0.5789,,,0.6731,50.0,0.0,46.0,21.0,29.0,,0.0,0.0,0.0,11.0,,0.0,35.0,80.0,9.0,71.0,37.0,43.0,,0.0,0.0,0.0,19.0,,5.0,52.0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.7407,0.6465,0.7,0.66
2015,waterford unified,"Town, fringe",0.15,0.12,0.25,0.15,0.15,,,,,0.1,,,0.22,21.0,13.0,8.0,11.0,10.0,,0.0,0.0,,9.0,,0.0,10.0,138.0,106.0,32.0,71.0,67.0,,1.0,3.0,,86.0,,1.0,47.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,,,
2016,waterford unified,"Town, fringe",0.16,0.12,0.5,0.18,0.14,,,,,0.09,,,0.31,18.0,12.0,6.0,10.0,8.0,0.0,,0.0,,7.0,,,11.0,112.0,100.0,12.0,55.0,57.0,1.0,,2.0,,74.0,,,35.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.15,,,
